package_name,total_tags,unique_tags,tags,number of packages 
attr@0.1.0,0,,0,53
build@0.0.2,0,,1,35
chain@0.1.1,0,,2,24
chronos@0.0.1,0,,3,11
core-foundation@0.9.3,0,,4,6
derive@1.0.0,0,,5,13
env@0.0.0,0,,6,4
error@0.1.9,0,,7,8
ftoa@0.1.1,0,,8,5
futures2@0.1.0,0,,9,3
grob@0.1.1,0,,11,3
gum@0.0.0,0,,12,3
if@0.0.0,0,,13,5
ina@0.0.1,0,,14,4
io@0.0.2,0,,15,5
itla@0.1.2,0,,17,3
itty@0.0.1,0,,18,4
lib@0.0.2,0,,19,2
local@0.1.0,0,,21,1
map@0.0.0,0,,22,1
matcher@0.0.2,0,,23,1
mimd@0.0.0,0,,24,2
movec@0.0.0,0,,25,1
muid@0.1.11,0,,26,1
nets@0.1.5,0,,27,1
netx@0.0.1,0,,28,3
nox@0.0.0,0,,31,2
nu@0.87.1,0,,32,2
numtraits@0.0.1,0,,34,2
nvm@0.1.0,0,,35,1
opensql@0.1.5,0,,36,1
openssh@0.10.1,0,,37,4
os@0.1.0,0,,38,1
parking_lot@0.12.1,0,,41,2
proc-macro3@0.1.1,0,,42,2
pwf@0.1.0,0,,43,1
quick@0.1.0-alpha.5,0,,44,1
radon@0.0.0,0,,45,1
rslab@0.2.1,0,,46,1
serde@1.0.193,0,,48,1
server@0.1.0,0,,49,2
stoa@0.0.0,0,,54,1
syr@0.1.0,0,,56,1
sys@0.0.0,0,,65,1
tokiox@0.1.0,0,,66,1
traits@0.0.0--,0,,69,1
umio@0.3.0,0,,71,1
utils@0.0.3,0,,74,2
vec@0.0.0,0,,75,1
vecmap@0.1.0,0,,76,1
voml@0.0.0,0,,77,2
xfailure@0.1.0,0,,78,1
xid@1.0.3,0,,81,1
ansi@0.1.0,1,Security.Backdoor.LOLBAS.Linux,84,1
drand@0.1.0,1,Security.Backdoor.Obfuscation.LongStrings,89,1
eand@0.1.2,1,Security.Backdoor.Obfuscation.LongStrings,92,1
eitherq@0.1.2,1,Security.Backdoor.LOLBAS.Linux,99,1
fermion@0.2.0,1,Security.Backdoor.Obfuscation.LongStrings,101,1
flate3@1.0.3,1,Security.Backdoor.LOLBAS.Windows,104,1
futurex@0.0.0,1,Security.Backdoor.Obfuscation.LongStrings,113,1
iter@0.0.0,1,Security.Backdoor.Obfuscation.LongStrings,133,1
itertool@0.1.0,1,Security.Backdoor.LOLBAS.Windows,144,2
libq@0.1.0,1,Security.Backdoor.Obfuscation.LongStrings,153,1
lihc@0.1.2,1,Security.Backdoor.Obfuscation.LongStrings,156,1
