Tag,Count,Files
Security.Backdoor.Obfuscation.LongStrings,5269,"myu@0.1.0.txt, roid@0.1.2.txt, rustc-serialize2@0.3.25.txt, hypar@1.0.3.txt, syk@0.2.0.txt, ebacktrace@0.5.1.txt, mhrono@0.1.0.txt, mio@0.8.9.txt, fermion@0.2.0.txt, wmemchr@0.1.0.txt, toio@0.1.4.txt, proc-macro0@1.0.40-dev.1.txt, dna@0.1.3.txt, tags@0.1.0.txt, base94@0.3.0.txt, temp-file@0.1.7.txt, cfg@0.8.0.txt, pio@0.2.1.txt, hypher@0.1.4.txt, quoth@0.0.1.txt, futurex@0.0.0.txt, mow@0.1.0.txt, parking_lot@0.12.1.txt, shared@0.1.2.txt, sedre@0.0.1.txt, backtrace@0.3.69.txt, array-vec@0.1.3.txt, ondrop@0.1.0.txt, fenv@0.2.1.txt, yu@0.1.0.txt, procmacro2@99.9.99.txt, jlog@0.2.1.txt, json@0.12.4.txt, jcc@0.1.7.txt, serde_bson@0.0.1.txt, lox@0.1.1.txt, libq@0.1.0.txt, baze64@0.6.0.txt, regix@0.1.0.txt, rslab@0.2.1.txt, openssh@0.10.1.txt, idea@0.5.1.txt, nu@0.87.1.txt, quick@0.1.0-alpha.5.txt, semver@1.0.20.txt, epoch@0.0.2.txt, rand@0.8.5.txt, chron@0.1.3.txt, vecmap@0.1.0.txt, ranges@0.3.3.txt, vyper@0.0.1.txt, flv@0.0.1.txt, nuid@0.5.0.txt, percent@0.0.0.txt, tml@0.2.0.txt, language@0.0.0.txt, ws2@0.2.4.txt, slam@0.1.0.txt, ansiterm@0.12.2.txt, clapi@0.1.2.txt, oid@0.2.1.txt, dither@1.3.10.txt, ph@0.8.1.txt, squote@0.1.2.txt, cfg-iif@0.2.6.txt, tompl@0.0.1.txt, slas@0.3.1.txt, lihc@0.1.2.txt, arty@0.1.2.txt, tmpdir@1.0.0.txt, regexm@0.2.1.txt, serde2@0.0.0.txt, urid@0.1.0.txt, eand@0.1.2.txt, termio@0.1.0.txt, quick-error2@2.1.0.txt, typer@0.1.1.txt, regen@0.1.0.txt, config@0.13.4.txt, mimo@0.1.0.txt, serde_json5@0.1.0.txt, crayon@0.7.1.txt, rang@0.1.1.txt, rand_lcg@0.1.0.txt, hurl@4.1.0.txt, ucc@0.2.1.txt, cv@0.6.0.txt, tokio@1.34.0.txt, unicode-id@0.3.4.txt, qio@0.0.0.txt, core-foundation@0.9.3.txt, lib2@0.1.0.txt, phf@0.11.2.txt, wcookie@0.1.2.txt, ggc@0.0.1.txt, synox@0.1.0.txt, pho@1.0.5.txt, regex@1.10.2.txt, blob@0.3.0.txt, byte@0.2.6.txt, nog@0.1.0.txt, uchrono@0.1.1.txt, mquote@0.1.0.txt, wookie@0.3.2.txt, pkg@3.0.0.txt, chacha@0.3.0.txt, rookie@0.3.3.txt, setver@0.3.0.txt, trime@0.1.1.txt, xid@1.0.3.txt, matches2@1.2.1.txt, nv@0.4.0.txt, lc@0.3.0.txt, raon@0.0.1.txt, mice@0.11.1.txt, drand_core@0.0.14.txt, muid@0.1.11.txt, voidy@0.2.0.txt, winapi@0.3.9.txt, atto@0.0.4.txt, bytex@0.1.1.txt, iota@0.2.3.txt, linapi@0.6.0-alpha.0.txt, ccap@0.1.0.txt, piow@0.5.0.txt, suid@1.0.0.txt, ida@0.1.1.txt, crossbeam@0.8.2.txt, slog@2.8.0-beta.1.txt, tokio-go@0.1.4.txt, time@0.3.30.txt, failure@0.1.8.txt, gcookie@0.0.3.txt, parser@0.0.0.txt, noo@0.1.0.txt, acc@0.1.2.txt, openssl@0.10.60.txt, gcob@0.2.0.txt, lot@0.0.0.txt, relex@1.0.0.txt, nets@0.1.5.txt, meow@0.2.2.txt, qrl@0.1.0.txt, matchers@0.1.0.txt, termios@0.3.3.txt, drand@0.1.0.txt, types@0.1.2.txt, itoa@1.0.9.txt, check@1.0.0.txt, nbytes@0.1.0.txt, rpu@0.1.1.txt, backtrack@0.3.0.txt, verde@0.2.0.txt, byte-order@0.3.0.txt, votd@1.0.4.txt, serde@1.0.193.txt, qute@0.0.13.txt, wither@0.9.0-alpha.2.txt, fav@0.0.1.txt, kserde@0.1.0.txt, wand@0.1.3.txt, grob@0.1.1.txt, gloo@0.10.0.txt, parking@2.2.0.txt, clp@0.5.0.txt, netr@0.1.6.txt, scope-guard@1.2.0.txt, pdf@0.8.1.txt, util@0.1.3.txt, tokyo@1.0.0.txt, rann@0.1.2.txt, hf@0.2.2.txt, turl@0.3.0.txt, emver@0.1.6.txt, term@0.7.0.txt, base64s@0.1.0.txt, tome@0.1.0.txt, base62@2.0.2.txt, gc@0.5.0.txt, iter@0.0.0.txt, itoap@1.0.1.txt, temp-dir@0.1.11.txt, num@0.4.1.txt, itla@0.1.2.txt, semverq@0.1.0.txt"
Security.Backdoor.LOLBAS.Linux,1542,"roid@0.1.2.txt, rustc-serialize2@0.3.25.txt, hypar@1.0.3.txt, slag@0.1.1.txt, ebacktrace@0.5.1.txt, mhrono@0.1.0.txt, mio@0.8.9.txt, wmemchr@0.1.0.txt, toio@0.1.4.txt, clam@0.1.6.txt, foundation@0.0.1.txt, proc-macro0@1.0.40-dev.1.txt, dna@0.1.3.txt, udl@0.3.1.txt, cfg@0.8.0.txt, pio@0.2.1.txt, hypher@0.1.4.txt, nxm@0.2.1.txt, parking_lot@0.12.1.txt, shared@0.1.2.txt, raygon@0.1.0.txt, backtrace@0.3.69.txt, zlog@0.1.0.txt, fenv@0.2.1.txt, yu@0.1.0.txt, json@0.12.4.txt, jcc@0.1.7.txt, serde_bson@0.0.1.txt, lime@0.1.0.txt, lox@0.1.1.txt, redox@0.0.3.txt, baze64@0.6.0.txt, rslab@0.2.1.txt, attr@0.1.0.txt, openssh@0.10.1.txt, idea@0.5.1.txt, nu@0.87.1.txt, quick@0.1.0-alpha.5.txt, ansi@0.1.0.txt, semver@1.0.20.txt, epoch@0.0.2.txt, yn@0.1.1.txt, api@0.2.0.txt, rand@0.8.5.txt, chron@0.1.3.txt, ranges@0.3.3.txt, nuid@0.5.0.txt, tml@0.2.0.txt, percent@0.0.0.txt, language@0.0.0.txt, ws2@0.2.4.txt, slam@0.1.0.txt, ansiterm@0.12.2.txt, clapi@0.1.2.txt, oid@0.2.1.txt, dither@1.3.10.txt, ph@0.8.1.txt, squote@0.1.2.txt, cfg-iif@0.2.6.txt, slas@0.3.1.txt, openssl2-sys@1.0.0.txt, arty@0.1.2.txt, tmpdir@1.0.0.txt, regexm@0.2.1.txt, urid@0.1.0.txt, encoding@0.2.33.txt, quick-error2@2.1.0.txt, config@0.13.4.txt, eitherq@0.1.2.txt, serde_json5@0.1.0.txt, crayon@0.7.1.txt, rang@0.1.1.txt, hurl@4.1.0.txt, ucc@0.2.1.txt, umio@0.3.0.txt, tokio@1.34.0.txt, unicode-id@0.3.4.txt, toykio@0.2.2.txt, core-foundation@0.9.3.txt, phf@0.11.2.txt, wcookie@0.1.2.txt, ggc@0.0.1.txt, synox@0.1.0.txt, pho@1.0.5.txt, regex@1.10.2.txt, ether@0.1.4.txt, static@0.0.4.txt, blob@0.3.0.txt, byte@0.2.6.txt, nog@0.1.0.txt, uchrono@0.1.1.txt, mquote@0.1.0.txt, wookie@0.3.2.txt, pkg@3.0.0.txt, chacha@0.3.0.txt, rookie@0.3.3.txt, trime@0.1.1.txt, xid@1.0.3.txt, proc@0.1.4.txt, nv@0.4.0.txt, lc@0.3.0.txt, mice@0.11.1.txt, drand_core@0.0.14.txt, voidy@0.2.0.txt, winapi@0.3.9.txt, atto@0.0.4.txt, iota@0.2.3.txt, linapi@0.6.0-alpha.0.txt, ccap@0.1.0.txt, piow@0.5.0.txt, byter@0.0.0.txt, version@3.0.0.txt, ida@0.1.1.txt, crossbeam@0.8.2.txt, slog@2.8.0-beta.1.txt, time@0.3.30.txt, gcookie@0.0.3.txt, parser@0.0.0.txt, openssl@0.10.60.txt, gcc@0.3.55.txt, ucd@0.1.1.txt, language-tag@0.9.0.txt, nets@0.1.5.txt, qrl@0.1.0.txt, matchers@0.1.0.txt, termios@0.3.3.txt, syscall@0.2.1.txt, itoa@1.0.9.txt, check@1.0.0.txt, nbytes@0.1.0.txt, deque@0.3.2.txt, backtrack@0.3.0.txt, byte-order@0.3.0.txt, votd@1.0.4.txt, serde@1.0.193.txt, qute@0.0.13.txt, wither@0.9.0-alpha.2.txt, fav@0.0.1.txt, kserde@0.1.0.txt, wand@0.1.3.txt, logger@0.4.0.txt, gloo@0.10.0.txt, parking@2.2.0.txt, netr@0.1.6.txt, pdf@0.8.1.txt, hf@0.2.2.txt, emver@0.1.6.txt, term@0.7.0.txt, base64s@0.1.0.txt, gc@0.5.0.txt, itoap@1.0.1.txt, hc@0.1.2.txt, num@0.4.1.txt, itla@0.1.2.txt, semverq@0.1.0.txt"
Security.Backdoor.DataExfiltration,1474,"api@0.2.0.txt, lazy@0.5.3.txt, rand@0.8.5.txt, acc@0.1.2.txt, chron@0.1.3.txt, hypar@1.0.3.txt, openssl@0.10.60.txt, relex@1.0.0.txt, mio@0.8.9.txt, mhrono@0.1.0.txt, rustc-serialize2@0.3.25.txt, core-foundation@0.9.3.txt, tokio@1.34.0.txt, nets@0.1.5.txt, toykio@0.2.2.txt, vecmap@0.1.0.txt, wmemchr@0.1.0.txt, toio@0.1.4.txt, phf@0.11.2.txt, wcookie@0.1.2.txt, foundation@0.0.1.txt, clam@0.1.6.txt, future@0.1.3.txt, synox@0.1.0.txt, udl@0.3.1.txt, regex@1.10.2.txt, clapi@0.1.2.txt, cfg@0.8.0.txt, pio@0.2.1.txt, ph@0.8.1.txt, deque@0.3.2.txt, dither@1.3.10.txt, parking_lot@0.12.1.txt, static@0.0.4.txt, verde@0.2.0.txt, wookie@0.3.2.txt, backtrace@0.3.69.txt, rookie@0.3.3.txt, votd@1.0.4.txt, serde@1.0.193.txt, wither@0.9.0-alpha.2.txt, aovec@1.1.0.txt, matches2@1.2.1.txt, jlog@0.2.1.txt, kserde@0.1.0.txt, wand@0.1.3.txt, json@0.12.4.txt, mice@0.11.1.txt, regexm@0.2.1.txt, lox@0.1.1.txt, netr@0.1.6.txt, drand_core@0.0.14.txt, urid@0.1.0.txt, redox@0.0.3.txt, pdf@0.8.1.txt, tokyo@1.0.0.txt, winapi@0.3.9.txt, term@0.7.0.txt, rslab@0.2.1.txt, base64s@0.1.0.txt, encoding@0.2.33.txt, linapi@0.6.0-alpha.0.txt, attr@0.1.0.txt, gc@0.5.0.txt, ccap@0.1.0.txt, typer@0.1.1.txt, piow@0.5.0.txt, config@0.13.4.txt, nu@0.87.1.txt, crayon@0.7.1.txt, semver@1.0.20.txt, hc@0.1.2.txt, time@0.3.30.txt, hurl@4.1.0.txt, gcookie@0.0.3.txt"
Security.Backdoor.DataExfiltration.Token,1217,"rand@0.8.5.txt, openssl@0.10.60.txt, syk@0.2.0.txt, ggc@0.0.1.txt, nxm@0.2.1.txt, rookie@0.3.3.txt, chacha@0.3.0.txt, qute@0.0.13.txt, openssl2-sys@1.0.0.txt, nv@0.4.0.txt, jcc@0.1.7.txt, redox@0.0.3.txt, pdf@0.8.1.txt, winapi@0.3.9.txt, openssh@0.10.1.txt, config@0.13.4.txt, crayon@0.7.1.txt, rang@0.1.1.txt, hurl@4.1.0.txt, itla@0.1.2.txt"
Security.Backdoor.LOLBAS.Windows,1182,"myu@0.1.0.txt, roid@0.1.2.txt, rustc-serialize2@0.3.25.txt, hypar@1.0.3.txt, syk@0.2.0.txt, mio@0.8.9.txt, mhrono@0.1.0.txt, wmemchr@0.1.0.txt, toio@0.1.4.txt, foundation@0.0.1.txt, proc-macro0@1.0.40-dev.1.txt, num_cpu@1.14.0.txt, base94@0.3.0.txt, udl@0.3.1.txt, temp-file@0.1.7.txt, cfg@0.8.0.txt, pio@0.2.1.txt, hypher@0.1.4.txt, nxm@0.2.1.txt, parking_lot@0.12.1.txt, shared@0.1.2.txt, flate3@1.0.3.txt, sedre@0.0.1.txt, raygon@0.1.0.txt, backtrace@0.3.69.txt, array-vec@0.1.3.txt, fenv@0.2.1.txt, yu@0.1.0.txt, nuo@0.1.0.txt, procmacro2@99.9.99.txt, json@0.12.4.txt, jcc@0.1.7.txt, serde_bson@0.0.1.txt, lime@0.1.0.txt, lox@0.1.1.txt, redox@0.0.3.txt, regix@0.1.0.txt, rslab@0.2.1.txt, attr@0.1.0.txt, openssh@0.10.1.txt, idea@0.5.1.txt, nu@0.87.1.txt, quick@0.1.0-alpha.5.txt, semver@1.0.20.txt, rand@0.8.5.txt, vecmap@0.1.0.txt, ranges@0.3.3.txt, vyper@0.0.1.txt, nuid@0.5.0.txt, tml@0.2.0.txt, percent@0.0.0.txt, slam@0.1.0.txt, ansiterm@0.12.2.txt, clapi@0.1.2.txt, oid@0.2.1.txt, dither@1.3.10.txt, cfg-iif@0.2.6.txt, tompl@0.0.1.txt, itertool@0.1.0.txt, slas@0.3.1.txt, openssl2-sys@1.0.0.txt, arty@0.1.2.txt, tmpdir@1.0.0.txt, noq@0.1.0.txt, urid@0.1.0.txt, min@0.1.0.txt, encoding@0.2.33.txt, quick-error2@2.1.0.txt, regen@0.1.0.txt, config@0.13.4.txt, serde_json5@0.1.0.txt, tim@0.0.1.txt, crayon@0.7.1.txt, rang@0.1.1.txt, hurl@4.1.0.txt, ucc@0.2.1.txt, umio@0.3.0.txt, thread@0.1.0.txt, cv@0.6.0.txt, tokio@1.34.0.txt, unicode-id@0.3.4.txt, qio@0.0.0.txt, utf8@0.1.0.txt, core-foundation@0.9.3.txt, lib2@0.1.0.txt, phf@0.11.2.txt, wcookie@0.1.2.txt, ggc@0.0.1.txt, pho@1.0.5.txt, regex@1.10.2.txt, static@0.0.4.txt, nog@0.1.0.txt, uchrono@0.1.1.txt, mquote@0.1.0.txt, chacha@0.3.0.txt, rookie@0.3.3.txt, setver@0.3.0.txt, trime@0.1.1.txt, proc@0.1.4.txt, nv@0.4.0.txt, lc@0.3.0.txt, raon@0.0.1.txt, mice@0.11.1.txt, drand_core@0.0.14.txt, net@0.1.0.txt, muid@0.1.11.txt, winapi@0.3.9.txt, atto@0.0.4.txt, bytex@0.1.1.txt, iota@0.2.3.txt, linapi@0.6.0-alpha.0.txt, ccap@0.1.0.txt, piow@0.5.0.txt, byter@0.0.0.txt, version@3.0.0.txt, ida@0.1.1.txt, crossbeam@0.8.2.txt, syu@0.1.0.txt, slog@2.8.0-beta.1.txt, tokio-go@0.1.4.txt, time@0.3.30.txt, nim@0.1.0.txt, parser@0.0.0.txt, acc@0.1.2.txt, integer@0.1.0.txt, gcob@0.2.0.txt, gcc@0.3.55.txt, openssl@0.10.60.txt, ucd@0.1.1.txt, nets@0.1.5.txt, qrl@0.1.0.txt, termios@0.3.3.txt, syscall@0.2.1.txt, itoa@1.0.9.txt, check@1.0.0.txt, nbytes@0.1.0.txt, deque@0.3.2.txt, backtrack@0.3.0.txt, votd@1.0.4.txt, serde@1.0.193.txt, qute@0.0.13.txt, wither@0.9.0-alpha.2.txt, fav@0.0.1.txt, kserde@0.1.0.txt, logger@0.4.0.txt, gloo@0.10.0.txt, parking@2.2.0.txt, clp@0.5.0.txt, netr@0.1.6.txt, pdf@0.8.1.txt, rann@0.1.2.txt, hf@0.2.2.txt, turl@0.3.0.txt, emver@0.1.6.txt, term@0.7.0.txt, base64s@0.1.0.txt, timer@0.2.0.txt, tome@0.1.0.txt, base62@2.0.2.txt, itoap@1.0.1.txt, temp-dir@0.1.11.txt, num@0.4.1.txt, itla@0.1.2.txt"
Security.Backdoor.Obfuscation,132,"openssl@0.10.60.txt, rustc-serialize2@0.3.25.txt, wmemchr@0.1.0.txt, ggc@0.0.1.txt, tags@0.1.0.txt, udl@0.3.1.txt, nxm@0.2.1.txt, blob@0.3.0.txt, nog@0.1.0.txt, rookie@0.3.3.txt, votd@1.0.4.txt, qute@0.0.13.txt, wither@0.9.0-alpha.2.txt, fav@0.0.1.txt, nv@0.4.0.txt, arty@0.1.2.txt, lc@0.3.0.txt, drand_core@0.0.14.txt, baze64@0.6.0.txt, base64s@0.1.0.txt, config@0.13.4.txt, nu@0.87.1.txt, crayon@0.7.1.txt, hurl@4.1.0.txt, gcookie@0.0.3.txt"
Security.Backdoor.DataExfiltration.Environment,109,"openssl@0.10.60.txt, rustc-serialize2@0.3.25.txt, gcc@0.3.55.txt, mio@0.8.9.txt, wmemchr@0.1.0.txt, tags@0.1.0.txt, ansiterm@0.12.2.txt, parking_lot@0.12.1.txt, backtrace@0.3.69.txt, serde@1.0.193.txt, wither@0.9.0-alpha.2.txt, openssl2-sys@1.0.0.txt, winapi@0.3.9.txt, term@0.7.0.txt, base64s@0.1.0.txt, encoding@0.2.33.txt, openssh@0.10.1.txt, config@0.13.4.txt, nu@0.87.1.txt, slog@2.8.0-beta.1.txt, umio@0.3.0.txt"
Security.Backdoor.DataExfiltration.Hostname,72,"wither@0.9.0-alpha.2.txt, linapi@0.6.0-alpha.0.txt, openssl@0.10.60.txt, jcc@0.1.7.txt, piow@0.5.0.txt, nu@0.87.1.txt, crayon@0.7.1.txt, xid@1.0.3.txt"
Security.Backdoor.ExecuteObfuscatedCode,27,"regex@1.10.2.txt, openssl@0.10.60.txt, json@0.12.4.txt, redox@0.0.3.txt, pdf@0.8.1.txt"
Security.Backdoor.Obfuscation.LongBinaryStrings,16,"regex@1.10.2.txt, openssl@0.10.60.txt, json@0.12.4.txt, redox@0.0.3.txt"
